aby;aby;A1;9
adres;adres;A1;12
aha;aha;A1;9
albo;albo;A1;8
alfabet;alfabet;A1;1
alkohol;alkohol;A1;12
apteka;apteka;A1;10
autobus;autobus;A1;12
babcia;babcia;A1;4
bać się;bacsie;A1;12
bałagan;balagan;A1;8
bardzo;bardzo;A1;11
bawić się;bawicsie;A1;8
bajka;bajka;A1;11
bilet;bilet;A1;12
bliźniaki;blizniaki;A1;4
blok;blok;A1;1
brązowy;brazowy;A1;6
brudno;brudno;A1;9
brzydki;brzydki;A1;5
bułka;bulka;A1;12
było;bylo;A1;7
być;byc;A1;---
cały;caky;A1;12
czas;czas;A1;8
czasami;czasami;A1;9
cena;cena;A1;---
cenny;cenny;A1;---
ci;ci;A1;9
ciasto;ciasto;A1;---
ciekawe;ciekawe;A1;---
ciekawy;ciekawy;A1;9
ciemny;ciemny;A1;9
ciocia;ciocia;A1;4
cieszyć się;cieszycsie;A1;12
ciąża;ciaza;A1;12
czarny;czarny;A1;6
cześć;czesc;A1;1
czy;czy;A1;8
czytać;czytac;A1;8
czerwony;czerwony;A1;6
człowiek;czlowiek;A1;12
czysto;czysto;A1;9
ćwiczyć;cwiczyc;A1;1
dać;dac;A1;7
daj mi;dajmi;A1;7
daleko;daleko;A1;---
dialog;dialog;A1;2
dzieci;dzieci;A1;4
dziecko;dziecko;A1;4
dzień dobry;dziendobry;A1;1
dziewcyznka;dziewcyznka;A1;4
dziadek;dziadek;A1;4
dzisiaj;dzisiaj;A1;4
do widzenia;dowidzenia;A1;1
dobrze;dobrze;A1;3
dom;dom;A1;1
dokładny;dokladny;A1;10
duży;duzy;A1;4
dużo;duzo;A1;4
dziękuję;dziekuje;A1;1
egzamin;egzamin;A1;6
fałszywy;falszywy;A1;11
film;film;A1;2
fioletowy;fioletowy;A1;6
frytki;frytki;A1;7
fryzjer;fryzjer;A1;3
gardło;gardlo;A1;10
gotować;gotowac;A1;7
gotowy;gotowy;A1;5
gorączka;goraczka;A1;10
gorący;goracy;A1;10
gra;gra;A1;12
grać;grac;A1;12
granaowy;granaowy;A1;6
gruby;gruby;A1;6
grill;grill;A1;8
grypa;grypa;A1;10
głodny;glodny;A1;7
głuchoniewidomy;gluchoniewidomy;A1;1
głuchy;gluchy;A1;1
góra;gora;A1;8
góry;gory;A1;8
herbata;herbata;A1;7
hotel;hotel;A1;---
I danie;idanie;A1;7
imie;imie;A1;1
impreza;impreza;A1;5
inaczej;inaczej;A1;12
inny;inny;A1;12
informatyk;informatyk;A1;3
internet;internet;A1;6
istnieć;istniec;A1;---
ja;ja;A1;1
jajko;jajko;A1;12
jak;jak;A1;8
jak wygląda;jakwyglada;A1;11
jakie;jakie;A1;8
jaki;jaki;A1;8
jest;jest;A1;3
jestem zajęty;jestemzajety;A1;12
jechać;jechac;A1;5
jeść;jesc;A1;7
jezioro;jezioro;A1;8
już;juz;A1;5
jutro;jutro;A1;4
